iter	Passed	Remaining
537	13183	11321
538	13205	11294
539	13227	11267
540	13260	11250
541	13307	11245
542	13328	11217
543	13357	11196
544	13389	11178
545	13417	11156
546	13445	11134
547	13472	11112
548	13493	11084
549	13515	11057
550	13537	11031
551	13558	11003
552	13579	10976
553	13599	10948
554	13619	10920
555	13640	10892
556	13661	10865
557	13684	10839
558	13706	10813
559	13729	10787
560	13766	10773
561	13788	10745
562	13814	10723
563	13865	10718
564	13907	10707
565	13931	10682
566	13961	10661
567	13989	10639
568	14010	10612
569	14033	10586
570	14055	10559
571	14077	10533
572	14103	10509
573	14124	10482
574	14146	10456
575	14166	10428
576	14188	10401
577	14209	10374
578	14230	10347
579	14249	10318
580	14268	10289
581	14289	10262
582	14311	10236
583	14331	10208
584	14352	10181
585	14391	10167
586	14440	10159
587	14463	10134
588	14506	10122
589	14536	10101
590	14558	10075
591	14579	10047
592	14603	10022
593	14623	9994
594	14645	9968
595	14665	9941
596	14685	9913
597	14707	9886
598	14727	9859
599	14750	9833
600	14771	9806
601	14792	9779
602	14814	9753
603	14835	9726
604	14858	9700
605	14879	9674
606	14906	9651
607	14925	9623
608	14952	9600
609	14971	9571
610	14996	9547
611	15018	9521
612	15038	9494
613	15057	9466
614	15083	9442
615	15103	9414
616	15124	9388
617	15145	9361
618	15165	9334
619	15186	9307
620	15207	9281
621	15228	9254
622	15247	9226
623	15267	9199
624	15289	9173
625	15311	9147
626	15333	9121
627	15354	9095
628	15378	9070
629	15400	9044
630	15422	9018
631	15443	8992
632	15464	8965
633	15486	8940
634	15513	8917
635	15566	8909
636	15594	8886
637	15633	8870
638	15660	8847
639	15692	8827
640	15717	8802
641	15738	8776
642	15758	8749
643	15777	8721
644	15800	8696
645	15820	8669
646	15841	8642
647	15858	8614
648	15879	8588
649	15901	8562
650	15920	8535
651	15938	8507
652	15958	8480
653	15978	8453
654	16000	8427
655	16019	8400
656	16039	8373
657	16061	8348
658	16083	8322
659	16105	8296
660	16129	8272
661	16150	8246
662	16171	8220
663	16193	8194
664	16215	8168
665	16236	8142
666	16257	8116
667	16278	8090
668	16299	8064
669	16320	8038
670	16341	8012
671	16363	7986
672	16384	7960
673	16408	7936
674	16431	7911
675	16453	7885
676	16474	7860
677	16495	7834
678	16517	7808
679	16560	7793
680	16600	7776
681	16642	7759
682	16683	7743
683	16727	7728
684	16762	7708
685	16794	7687
686	16820	7663
687	16842	7637
688	16862	7611
689	16882	7584
690	16904	7559
691	16925	7533
692	16947	7507
693	16967	7481
694	16990	7456
695	17012	7430
696	17033	7404
697	17059	7380
698	17077	7353
699	17098	7328
700	17123	7303
701	17142	7277
702	17161	7250
703	17183	7224
704	17204	7198
705	17226	7173
706	17245	7146
707	17266	7121
708	17287	7095
709	17308	7069
710	17330	7044
711	17355	7020
712	17378	6995
713	17400	6970
714	17424	6945
715	17444	6919
716	17466	6893
717	17487	6868
718	17509	6842
719	17530	6817
